mgap_id,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m02166,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951033,578579188
m02167,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951030,624827688
m02168,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951036,596488456
m02169,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951059,521849775
m02170,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951056,612100968
m02171,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951051,642498006
m02172,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951048,604730576
m02173,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951041,592315049
m02174,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951074,636609339
m02175,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1640559,615387143
m03585,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628114,469458227
m03586,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628112,465516876
m03587,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628113,444057586
m03588,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628117,443923002
m03589,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628119,434330607
m03590,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628125,432076132
m03591,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628123,440575963
m03592,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628118,454412901
m03593,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628120,446635216
m03594,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628131,426960350
m03595,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628122,408637273
m03596,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628121,424528361
m03597,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628127,442032269
m03598,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628130,432091055
m03599,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628135,413705229
m03600,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628124,425751033
m03601,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628132,454503521
m03602,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628126,437375294
m03603,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628128,447061909
m03604,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628129,467963978
m03605,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628133,456517180
m03606,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR5628143,454570316
