mgap_id,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m00001,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626563,896084477
m00002,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626562,831193972
m00003,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626566,558442100
m00006,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626557,519593196
m00007,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626556,524659231
m00008,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626576,659845787
m00008,m,India,RHESUS MACAQUE,GBS,SRR7808783,5802682
m00009,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626575,384970478
m00009,m,India,RHESUS MACAQUE,GBS,SRR7808806,5260655
m00010,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626574,424087646
m00010,f,India,RHESUS MACAQUE,GBS,SRR7808811,3795102
m00012,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626572,430664300
m00016,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626568,351460022
m00016,m,India,RHESUS MACAQUE,GBS,SRR7808808,5291448
m00019,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1927129,690919628
m00019,m,India,RHESUS MACAQUE,Whole Exome,SRR1975631,62589706
m00020,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1927136,635520186
m00020,f,India,RHESUS MACAQUE,Whole Exome,SRR1975633,56966554
m00021,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1944117,659732039
m00022,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929361,528973986
m00023,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1944110,571197343
m00023,m,India,RHESUS MACAQUE,GBS,SRR5795024,7211499
m00024,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1964589,566684234
m00025,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929364,557537439
m00026,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1964586,564501044
m00026,m,India,RHESUS MACAQUE,GBS,SRR5428109,6536035
m00027,m,India,RHESUS MACAQUE,GBS,SRR7808859,6046465
m00027,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929358,658774757
