mgap_id,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m03716,f,India,Macaca mulatta,Whole Exome,SRR1519176,23600632
m03717,f,India,Macaca mulatta,Whole Exome,SRR1519177,28185572
m03718,m,India,Macaca mulatta,Whole Exome,SRR1519178,29349647
m03719,m,India,Macaca mulatta,Whole Exome,SRR1519179,31603405
m03720,m,India,Macaca mulatta,Whole Exome,SRR1519180,30234241
m03721,m,India,Macaca mulatta,Whole Exome,SRR1519283,30484307
m03722,f,India,Macaca mulatta,Whole Exome,SRR1519284,25930044
m03723,f,India,Macaca mulatta,Whole Exome,SRR1519285,32153328
m03724,m,India,Macaca mulatta,Whole Exome,SRR1519286,28360755
m03725,m,India,Macaca mulatta,Whole Exome,SRR1521156,29058582
m03726,f,India,Macaca mulatta,Whole Exome,SRR1521157,26319993
m03727,f,India,Macaca mulatta,Whole Exome,SRR1536371,30664616
m03728,m,India,Macaca mulatta,Whole Exome,SRR1521159,30457819
m03729,m,India,Macaca mulatta,Whole Exome,SRR1521160,30084409
m03730,f,India,Macaca mulatta,Whole Exome,SRR1521161,33726916
m03731,f,India,Macaca mulatta,Whole Exome,SRR1521162,32827742
m03732,m,India,Macaca mulatta,Whole Exome,SRR1521163,28775109
m03733,m,India,Macaca mulatta,Whole Exome,SRR1521164,28073780
m03734,f,India,Macaca mulatta,Whole Exome,SRR1521165,30866697
m03735,m,India,Macaca mulatta,Whole Exome,SRR1519169,80567917
m03736,f,India,Macaca mulatta,Whole Exome,SRR1521166,29643117
m03737,m,India,Macaca mulatta,Whole Exome,SRR1521167,32266925
m03738,m,India,Macaca mulatta,Whole Exome,SRR1521168,31687907
m03739,f,India,Macaca mulatta,Whole Exome,SRR1521169,28543969
m03740,f,India,Macaca mulatta,Whole Exome,SRR1521170,32861088
m03741,m,India,Macaca mulatta,Whole Exome,SRR1521171,32359843
m03742,m,India,Macaca mulatta,Whole Exome,SRR1521172,25445339
m03743,f,India,Macaca mulatta,Whole Exome,SRR1521173,28666530
m03744,f,India,Macaca mulatta,Whole Exome,SRR1521174,26063058
m03745,m,India,Macaca mulatta,Whole Exome,SRR1521175,34327007
m03746,m,India,Macaca mulatta,Whole Exome,SRR1521185,26554220
m03747,f,India,Macaca mulatta,Whole Exome,SRR1521186,28915665
m03748,f,India,Macaca mulatta,Whole Exome,SRR1521187,29389069
m03749,m,India,Macaca mulatta,Whole Exome,SRR1521188,24143095
m03750,m,India,Macaca mulatta,Whole Exome,SRR1521189,24191169
m03751,f,India,Macaca mulatta,Whole Exome,SRR1521193,25155147
m03752,f,India,Macaca mulatta,Whole Exome,SRR1521194,26691535
m03753,m,India,Macaca mulatta,Whole Exome,SRR1521196,24647291
m03754,m,India,Macaca mulatta,Whole Exome,SRR1521202,33818966
m03755,f,India,Macaca mulatta,Whole Exome,SRR1521203,27712956
m03756,f,India,Macaca mulatta,Whole Exome,SRR1521205,31078797
m03757,f,India,Macaca mulatta,Whole Exome,SRR1521209,27290053
m03758,f,India,Macaca mulatta,Whole Exome,SRR1521211,22589063
m03759,f,India,Macaca mulatta,Whole Exome,SRR1521212,27973951
m03760,m,India,Macaca mulatta,Whole Exome,SRR1521213,32922148
m03761,m,India,Macaca mulatta,Whole Exome,SRR1521214,28226874
m03762,m,India,Macaca mulatta,Whole Exome,SRR1521215,31168609
m03763,m,India,Macaca mulatta,Whole Exome,SRR1521216,29811072
m03764,m,India,Macaca mulatta,Whole Exome,SRR1521217,33014162
m03765,m,India,Macaca mulatta,Whole Exome,SRR1521218,34050130
m03766,m,India,Macaca mulatta,Whole Exome,SRR1521219,27577901
m03767,f,India,Macaca mulatta,Whole Exome,SRR1521220,32248480
m03768,m,India,Macaca mulatta,Whole Exome,SRR1521221,30055001
m03769,m,India,Macaca mulatta,Whole Exome,SRR1521222,32852982
m03770,f,India,Macaca mulatta,Whole Exome,SRR1521223,28230903
m03771,m,India,Macaca mulatta,Whole Exome,SRR1521224,32832083
m03772,m,India,Macaca mulatta,Whole Exome,SRR1521225,31757025
m03773,m,India,Macaca mulatta,Whole Exome,SRR1521226,29696643
m03774,m,India,Macaca mulatta,Whole Exome,SRR1521227,24845919
m03775,m,India,Macaca mulatta,Whole Exome,SRR1521229,33237717
m03776,m,India,Macaca mulatta,Whole Exome,SRR1521230,31543837
m03777,m,India,Macaca mulatta,Whole Exome,SRR1521231,35555630
m03778,m,India,Macaca mulatta,Whole Exome,SRR1521232,33920434
m03779,f,India,Macaca mulatta,Whole Exome,SRR1521233,28788836
m03780,m,India,Macaca mulatta,Whole Exome,SRR1521234,27532970
m03781,m,India,Macaca mulatta,Whole Exome,SRR1521235,28997783
m03782,m,India,Macaca mulatta,Whole Exome,SRR1521236,31920029
m03783,m,India,Macaca mulatta,Whole Exome,SRR1521237,30572643
m03784,m,India,Macaca mulatta,Whole Exome,SRR1521238,30999228
m03785,f,India,Macaca mulatta,Whole Exome,SRR1521239,28624286
m03786,f,India,Macaca mulatta,Whole Exome,SRR1521240,25600949
m03787,m,India,Macaca mulatta,Whole Exome,SRR1521241,26159587
