mgap_id,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m02205,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1951019,628346760
m02206,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1927121,595390056
m02206,f,India,Macaca mulatta,Whole Exome,SRR1975629,79630089
m02207,m,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1927125,615541245
m02207,m,India,Macaca mulatta,Whole Exome,SRR1975628,67463470
m02208,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929317,551756915
m02209,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929320,528320937
m02210,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929386,547872800
m02211,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929323,494238824
m02212,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929326,589901637
m02213,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929329,542491164
m02214,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929332,577302465
m02215,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929335,603286570
m02216,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929338,578992912
m02217,f,India,Macaca mulatta,Whole Genome: Deep Coverage,SRR1929344,589907327
m03707,m,India,Macaca mulatta,Whole Exome,SRR1975652,65220875
m03708,f,India,Macaca mulatta,Whole Exome,SRR1975653,71836231
m03709,f,India,Macaca mulatta,Whole Exome,SRR1975654,58047466
m03710,m,India,Macaca mulatta,Whole Exome,SRR1975655,84650990
m03711,f,India,Macaca mulatta,Whole Exome,SRR1975656,63059792
m03712,f,India,Macaca mulatta,Whole Exome,SRR1975657,68158261
m03713,m,India,Macaca mulatta,Whole Exome,SRR1975658,66676792
m03714,m,India,Macaca mulatta,Whole Exome,SRR1975659,74887859
m03788,m,unknown,Macaca mulatta,Whole Exome,"SRR1249098,SRR1249099",69935224
m03789,m,unknown,Macaca mulatta,Whole Exome,"SRR1249100,SRR1249101",62486339
m03790,m,unknown,Macaca mulatta,Whole Exome,"SRR1249102,SRR1249103",54098063
m03791,m,unknown,Macaca mulatta,Whole Exome,"SRR1249104,SRR1249105",87676056
m03792,m,unknown,Macaca mulatta,Whole Exome,"SRR1249106,SRR1249107",51875145
m03793,m,unknown,Macaca mulatta,Whole Exome,"SRR1249108,SRR1249109",56108773
m03794,m,unknown,Macaca mulatta,Whole Exome,"SRR1249110,SRR1249111",88114668
m03795,m,unknown,Macaca mulatta,Whole Exome,"SRR1249112,SRR1249113",61090912
m03796,m,unknown,Macaca mulatta,Whole Exome,"SRR1249114,SRR1249115",51513936
m03797,m,unknown,Macaca mulatta,Whole Exome,"SRR1249116,SRR1249117",66529798
m03798,m,unknown,Macaca mulatta,Whole Exome,"SRR1249118,SRR1249119",54101268
m03799,m,unknown,Macaca mulatta,Whole Exome,"SRR1249120,SRR1249121",38111136
m03800,m,unknown,Macaca mulatta,Whole Exome,"SRR1249122,SRR1249123",78394212
m03801,m,unknown,Macaca mulatta,Whole Exome,"SRR1249124,SRR1249125",109774008
m03802,m,unknown,Macaca mulatta,Whole Exome,"SRR1249126,SRR1249127",48100165
m03803,m,unknown,Macaca mulatta,Whole Exome,"SRR1249128,SRR1249129",73957920
m03804,m,unknown,Macaca mulatta,Whole Exome,"SRR1249130,SRR1249131",64771458
m03805,m,unknown,Macaca mulatta,Whole Exome,"SRR1249132,SRR1249133",63786485
m03806,m,unknown,Macaca mulatta,Whole Exome,"SRR1249134,SRR1249135",61855136
m03807,m,unknown,Macaca mulatta,Whole Exome,"SRR1249136,SRR1249137",67839197
m03808,m,unknown,Macaca mulatta,Whole Exome,"SRR1249138,SRR1249139",69022283
m03809,m,unknown,Macaca mulatta,Whole Exome,"SRR1249140,SRR1249141",62943460
m03810,m,unknown,Macaca mulatta,Whole Exome,"SRR1249142,SRR1249143",79319421
m03811,m,unknown,Macaca mulatta,Whole Exome,"SRR1249144,SRR1249145",92488940
m03812,m,unknown,Macaca mulatta,Whole Exome,"SRR1249146,SRR1249147",63406408
m03813,m,unknown,Macaca mulatta,Whole Exome,"SRR1249148,SRR1249149",57564666
m03814,m,unknown,Macaca mulatta,Whole Exome,"SRR1249150,SRR1249151",62632578
m03815,m,unknown,Macaca mulatta,Whole Exome,"SRR1249152,SRR1249153",56205976
m03816,m,unknown,Macaca mulatta,Whole Exome,"SRR1249154,SRR1249155",54464819
