mgap_id,primate_center,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m03537,CNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975691,104219207
m03538,CNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975660,93013228
m03539,CNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975671,81632588
m03540,CNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975672,73591553
m03536,CNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975639,91051578
m03627,NEPRC,,,,Whole Exome,SRR1975644,80869026
m03625,NEPRC,,,,Whole Exome,SRR1975695,63503705
m03626,NEPRC,,,,Whole Exome,SRR1975642,59066969
m03628,NEPRC,,,,Whole Exome,SRR1975648,71436167
m03629,NEPRC,,,,Whole Exome,SRR1975651,66039534
m03615,ONPRC,m,India,RHESUS MACAQUE,Whole Exome,SRR1975667,59583361
m03732,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521163,28775109
m03746,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521185,26554220
m03745,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521175,34327007
m03744,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521174,26063058
m03743,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521173,28666530
m03742,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521172,25445339
m03741,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521171,32359843
m03740,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521170,32861088
m03739,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521169,28543969
m03738,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521168,31687907
m03737,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521167,32266925
m03736,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521166,29643117
m03735,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1519169,80567917
m03734,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521165,30866697
m03733,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521164,28073780
m03731,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521162,32827742
m03730,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521161,33726916
m03729,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521160,30084409
m03728,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521159,30457819
m03747,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521186,28915665
m03748,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521187,29389069
m03749,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521188,24143095
m03750,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521189,24191169
m03771,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521224,32832083
m03770,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521223,28230903
m03769,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521222,32852982
m03768,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521221,30055001
m03767,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521220,32248480
m03766,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521219,27577901
m03765,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521218,34050130
m03764,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521217,33014162
m03763,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521216,29811072
m03762,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521215,31168609
m03761,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521214,28226874
m03760,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521213,32922148
m03759,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521212,27973951
m03758,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521211,22589063
m03757,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521209,27290053
m03756,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521205,31078797
m03755,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521203,27712956
m03754,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521202,33818966
m03753,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521196,24647291
m03752,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521194,26691535
m03751,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521193,25155147
m03727,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1536371,30664616
m03772,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521225,31757025
m03726,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521157,26319993
m03724,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1519286,28360755
m03723,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1519285,32153328
m03722,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1519284,25930044
m03721,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1519283,30484307
m03720,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1519180,30234241
m03719,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1519179,31603405
m03718,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1519178,29349647
m03717,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1519177,28185572
m03716,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1519176,23600632
m03725,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521156,29058582
m03773,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521226,29696643
m03774,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521227,24845919
m03775,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521229,33237717
m03776,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521230,31543837
m03777,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521231,35555630
m03778,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521232,33920434
m03779,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521233,28788836
m03780,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521234,27532970
m03781,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521235,28997783
m03782,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521236,31920029
m03783,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521237,30572643
m03784,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521238,30999228
m03785,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521239,28624286
m03786,TNPRC,f,India,Macaca mulatta,Whole Exome,SRR1521240,25600949
m03787,TNPRC,m,India,Macaca mulatta,Whole Exome,SRR1521241,26159587
m03701,WNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975635,110994416
m03699,WNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975632,76061946
m03700,WNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975634,86114496
m03702,WNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975637,74773169
m03703,WNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975690,90612130
m03704,WNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975638,71551357
m03705,WNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975693,53140177
m03706,WNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975641,51706135
m03847,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249216,SRR1249217",91386579
m03825,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249172,SRR1249173",67254321
m03824,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249170,SRR1249171",65791155
m03823,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249168,SRR1249169",85996963
m03822,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249166,SRR1249167",68512831
m03821,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249164,SRR1249165",45365289
m03820,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249162,SRR1249163",82121405
m03819,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249160,SRR1249161",47303499
m03818,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249158,SRR1249159",80889838
m03817,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249156,SRR1249157",66150999
m03816,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249154,SRR1249155",54464819
m03815,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249152,SRR1249153",56205976
m03814,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249150,SRR1249151",62632578
m03813,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249148,SRR1249149",57564666
m03812,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249146,SRR1249147",63406408
m03811,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249144,SRR1249145",92488940
m03810,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249142,SRR1249143",79319421
m03809,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249140,SRR1249141",62943460
m03826,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249174,SRR1249175",68887130
m03808,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249138,SRR1249139",69022283
m03827,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249176,SRR1249177",66867373
m03829,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249180,SRR1249181",46396972
m03846,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249214,SRR1249215",55797342
m03845,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249212,SRR1249213",46292920
m03844,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249210,SRR1249211",59716324
m03843,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249208,SRR1249209",49085391
m03842,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249206,SRR1249207",64549095
m03841,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249204,SRR1249205",63946706
m03840,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249202,SRR1249203",75928975
m03839,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249200,SRR1249201",83390226
m03838,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249198,SRR1249199",49649083
m03837,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249196,SRR1249197",72129163
m03836,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249194,SRR1249195",76091808
m03835,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249192,SRR1249193",49191631
m03834,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249190,SRR1249191",47137546
m03833,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249188,SRR1249189",64132798
m03832,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249186,SRR1249187",67611322
m03831,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249184,SRR1249185",45538256
m03830,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249182,SRR1249183",63364896
m03828,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249178,SRR1249179",83441063
m03848,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249218,SRR1249219",76990470
m03807,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249136,SRR1249137",67839197
m03805,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249132,SRR1249133",63786485
m03709,YNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975654,58047466
m03708,YNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975653,71836231
m03707,YNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975652,65220875
m03710,YNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975655,84650990
m03806,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249134,SRR1249135",61855136
m03711,YNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975656,63059792
m03713,YNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975658,66676792
m03804,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249130,SRR1249131",64771458
m03803,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249128,SRR1249129",73957920
m03802,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249126,SRR1249127",48100165
m03801,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249124,SRR1249125",109774008
m03800,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249122,SRR1249123",78394212
m03799,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249120,SRR1249121",38111136
m03798,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249118,SRR1249119",54101268
m03797,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249116,SRR1249117",66529798
m03795,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249112,SRR1249113",61090912
m03794,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249110,SRR1249111",88114668
m03793,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249108,SRR1249109",56108773
m03792,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249106,SRR1249107",51875145
m03791,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249104,SRR1249105",87676056
m03790,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249102,SRR1249103",54098063
m03789,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249100,SRR1249101",62486339
m03788,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249098,SRR1249099",69935224
m03714,YNPRC,m,India,Macaca mulatta,Whole Exome,SRR1975659,74887859
m03712,YNPRC,f,India,Macaca mulatta,Whole Exome,SRR1975657,68158261
m03796,YNPRC,m,unknown,Macaca mulatta,Whole Exome,"SRR1249114,SRR1249115",51513936
