Id,_labkeyurl_Id,avgKinship,birth,death,gender,geographic_origin,lsid,species
m00001,/study/mGAP/participant.view?participantId=m00001,0.0,1992-04-24 00:00:00.000,2012-10-15 09:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00001,RHESUS MACAQUE
m00002,/study/mGAP/participant.view?participantId=m00002,0.0,1992-04-15 00:00:00.000,2001-07-10 11:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00002,RHESUS MACAQUE
m00003,/study/mGAP/participant.view?participantId=m00003,0.001204372437532283,1993-04-01 00:00:00.000,2013-08-08 14:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00003,RHESUS MACAQUE
m00004,/study/mGAP/participant.view?participantId=m00004,0.0036002335141184574,2001-03-30 21:00:00.000,,m,Hybrid (China / India),urn:lsid:labkey.com:Study.Data-5:1000.m00004,RHESUS MACAQUE
m00005,/study/mGAP/participant.view?participantId=m00005,0.0018534489571227187,2005-04-15 00:00:00.000,2017-03-10 00:00:00.000,f,Hybrid (China / India),urn:lsid:labkey.com:Study.Data-5:1000.m00005,RHESUS MACAQUE
m00006,/study/mGAP/participant.view?participantId=m00006,0.0005017903225481017,2006-03-15 00:00:00.000,2013-05-17 10:15:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00006,RHESUS MACAQUE
m00007,/study/mGAP/participant.view?participantId=m00007,0.0017212481538126292,2002-01-01 00:00:00.000,2007-11-29 11:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00007,RHESUS MACAQUE
m00008,/study/mGAP/participant.view?participantId=m00008,0.004557291666666667,1993-04-01 00:00:00.000,2017-02-23 12:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00008,RHESUS MACAQUE
m00009,/study/mGAP/participant.view?participantId=m00009,0.00029323777548209364,1979-07-02 07:30:00.000,2008-11-04 13:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00009,RHESUS MACAQUE
m00010,/study/mGAP/participant.view?participantId=m00010,0.0012913223140495868,1979-12-01 00:00:00.000,2004-08-18 11:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00010,RHESUS MACAQUE
m00011,/study/mGAP/participant.view?participantId=m00011,0.0,1994-06-25 00:00:00.000,2006-03-30 11:00:00.000,f,China,urn:lsid:labkey.com:Study.Data-5:1000.m00011,RHESUS MACAQUE
m00012,/study/mGAP/participant.view?participantId=m00012,0.0014803127152203856,1999-04-01 00:00:00.000,2004-05-20 08:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00012,RHESUS MACAQUE
m00013,/study/mGAP/participant.view?participantId=m00013,0.0,1994-06-09 00:00:00.000,2003-07-16 09:30:00.000,f,China,urn:lsid:labkey.com:Study.Data-5:1000.m00013,RHESUS MACAQUE
m00014,/study/mGAP/participant.view?participantId=m00014,0.0,1992-12-07 00:00:00.000,2004-11-05 10:00:00.000,f,CHINA,urn:lsid:labkey.com:Study.Data-5:1000.m00014,RHESUS MACAQUE
m00015,/study/mGAP/participant.view?participantId=m00015,0.0,1993-08-08 00:00:00.000,2003-01-06 08:00:00.000,f,CHINA,urn:lsid:labkey.com:Study.Data-5:1000.m00015,RHESUS MACAQUE
m00016,/study/mGAP/participant.view?participantId=m00016,0.0,1977-04-21 00:01:00.000,2001-12-20 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00016,RHESUS MACAQUE
m00017,/study/mGAP/participant.view?participantId=m00017,0.0,1997-12-28 00:00:00.000,2004-11-11 14:00:00.000,m,CHINA,urn:lsid:labkey.com:Study.Data-5:1000.m00017,RHESUS MACAQUE
m00018,/study/mGAP/participant.view?participantId=m00018,0.0,1996-04-10 00:00:00.000,2005-01-05 13:10:00.000,f,China,urn:lsid:labkey.com:Study.Data-5:1000.m00018,RHESUS MACAQUE
m00019,/study/mGAP/participant.view?participantId=m00019,0.0005710065857438016,2004-05-01 00:00:00.000,2011-12-23 11:40:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00019,RHESUS MACAQUE
m00020,/study/mGAP/participant.view?participantId=m00020,0.0007768110795454545,2006-02-15 00:00:00.000,2016-03-16 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00020,RHESUS MACAQUE
m00021,/study/mGAP/participant.view?participantId=m00021,0.00249495913502927,2006-05-30 00:00:00.000,2012-02-27 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00021,RHESUS MACAQUE
m00022,/study/mGAP/participant.view?participantId=m00022,0.0,1984-04-18 00:00:00.000,2009-03-31 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00022,RHESUS MACAQUE
m00023,/study/mGAP/participant.view?participantId=m00023,0.0045007963154269975,2002-05-13 00:00:00.000,2013-02-28 09:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00023,RHESUS MACAQUE
m00024,/study/mGAP/participant.view?participantId=m00024,0.004164514462809917,1996-04-01 00:00:00.000,2009-02-01 20:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00024,RHESUS MACAQUE
m00025,/study/mGAP/participant.view?participantId=m00025,0.0,1983-04-18 00:00:00.000,2009-03-11 11:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00025,RHESUS MACAQUE
m00026,/study/mGAP/participant.view?participantId=m00026,0.0069699458182679065,1990-07-15 00:00:00.000,2010-02-17 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00026,RHESUS MACAQUE
m00027,/study/mGAP/participant.view?participantId=m00027,0.0,1986-01-01 00:00:00.000,2010-05-18 10:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00027,RHESUS MACAQUE
m00028,/study/mGAP/participant.view?participantId=m00028,0.003997718663911846,1990-05-01 00:00:00.000,2014-06-23 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00028,RHESUS MACAQUE
m00029,/study/mGAP/participant.view?participantId=m00029,0.003009050017217631,1990-02-15 00:00:00.000,,m,,urn:lsid:labkey.com:Study.Data-5:1000.m00029,RHESUS MACAQUE
m00030,/study/mGAP/participant.view?participantId=m00030,0.0009186064244630251,2006-03-06 00:00:00.000,2012-02-29 13:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00030,RHESUS MACAQUE
m00031,/study/mGAP/participant.view?participantId=m00031,0.0026794938016528927,1989-05-01 00:00:00.000,2014-06-24 10:30:00.000,m,INDIA,urn:lsid:labkey.com:Study.Data-5:1000.m00031,RHESUS MACAQUE
m00032,/study/mGAP/participant.view?participantId=m00032,0.005593712336432507,1991-04-15 00:00:00.000,2015-06-03 22:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00032,RHESUS MACAQUE
m00033,/study/mGAP/participant.view?participantId=m00033,0.0,1997-06-17 07:00:00.000,,m,INDIA,urn:lsid:labkey.com:Study.Data-5:1000.m00033,RHESUS MACAQUE
m00034,/study/mGAP/participant.view?participantId=m00034,0.0,2005-05-19 07:00:00.000,2014-11-06 13:00:00.000,m,INDIA,urn:lsid:labkey.com:Study.Data-5:1000.m00034,RHESUS MACAQUE
