mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00001,f,India,RHESUS MACAQUE,864557,Whole Genome: Deep Coverage,SRR5626563,896084477
m00002,f,India,RHESUS MACAQUE,864558,Whole Genome: Deep Coverage,SRR5626562,831193972
m00003,f,India,RHESUS MACAQUE,864559,Whole Genome: Deep Coverage,SRR5626566,558442100
m00004,m,Hybrid (China / India),RHESUS MACAQUE,864560,Whole Genome: Deep Coverage,SRR5626561,502915495
m00004,m,Hybrid (China / India),RHESUS MACAQUE,864561,GBS,SRR7808867,4188155
m00005,f,Hybrid (China / India),RHESUS MACAQUE,864562,Whole Genome: Deep Coverage,SRR5626560,495617772
m00006,f,India,RHESUS MACAQUE,864563,Whole Genome: Deep Coverage,SRR5626557,519593196
m00007,m,India,RHESUS MACAQUE,864564,Whole Genome: Deep Coverage,SRR5626556,524659231
m00008,m,India,RHESUS MACAQUE,864565,Whole Genome: Deep Coverage,SRR5626576,659845787
m00008,m,India,RHESUS MACAQUE,864566,GBS,SRR7808783,5802682
m00009,m,India,RHESUS MACAQUE,864567,Whole Genome: Deep Coverage,SRR5626575,384970478
m00009,m,India,RHESUS MACAQUE,864568,GBS,SRR7808806,5260655
m00010,f,India,RHESUS MACAQUE,864569,Whole Genome: Deep Coverage,SRR5626574,424087646
m00010,f,India,RHESUS MACAQUE,864570,GBS,SRR7808811,3795102
m00011,f,China,RHESUS MACAQUE,864571,Whole Genome: Deep Coverage,SRR5626573,496996276
m00012,m,India,RHESUS MACAQUE,864572,Whole Genome: Deep Coverage,SRR5626572,430664300
m00013,f,China,RHESUS MACAQUE,864573,Whole Genome: Deep Coverage,SRR5626571,707296391
m00014,f,CHINA,RHESUS MACAQUE,864574,Whole Genome: Deep Coverage,SRR5626570,482716908
m00015,f,CHINA,RHESUS MACAQUE,864575,Whole Genome: Deep Coverage,SRR5626569,498073201
m00016,m,India,RHESUS MACAQUE,864576,Whole Genome: Deep Coverage,SRR5626568,351460022
m00016,m,India,RHESUS MACAQUE,864577,GBS,SRR7808808,5291448
m00017,m,CHINA,RHESUS MACAQUE,864578,Whole Genome: Deep Coverage,SRR5626567,691845492
m00018,f,China,RHESUS MACAQUE,864579,Whole Genome: Deep Coverage,SRR5626558,436092883
m00019,m,India,RHESUS MACAQUE,864580,Whole Genome: Deep Coverage,SRR1927129,690919628
m00019,m,India,RHESUS MACAQUE,864581,Whole Exome,SRR1975631,62589706
m00020,f,India,RHESUS MACAQUE,864582,Whole Genome: Deep Coverage,SRR1927136,635520186
m00020,f,India,RHESUS MACAQUE,864583,Whole Exome,SRR1975633,56966554
m00021,m,India,RHESUS MACAQUE,864584,Whole Genome: Deep Coverage,SRR1944117,659732039
m00022,f,India,RHESUS MACAQUE,864585,Whole Genome: Deep Coverage,SRR1929361,528973986
m00023,m,India,RHESUS MACAQUE,864586,Whole Genome: Deep Coverage,SRR1944110,571197343
m00023,m,India,RHESUS MACAQUE,864587,GBS,SRR5795024,7211499
m00024,m,India,RHESUS MACAQUE,864588,Whole Genome: Deep Coverage,SRR1964589,566684234
m00025,f,India,RHESUS MACAQUE,864589,Whole Genome: Deep Coverage,SRR1929364,557537439
m00026,m,India,RHESUS MACAQUE,864590,Whole Genome: Deep Coverage,SRR1964586,564501044
m00026,m,India,RHESUS MACAQUE,864591,GBS,SRR5428109,6536035
m00027,m,India,RHESUS MACAQUE,864592,GBS,SRR7808859,6046465
m00027,m,India,RHESUS MACAQUE,864593,Whole Genome: Deep Coverage,SRR1929358,658774757
m00027,m,India,RHESUS MACAQUE,864594,GBS,SRR5795091,3835605
m00028,m,India,RHESUS MACAQUE,864595,GBS,SRR5794879,8232365
m00028,m,India,RHESUS MACAQUE,864596,Whole Genome: Deep Coverage,SRR1929347,954728621
m00029,m,,RHESUS MACAQUE,864597,Whole Genome: Deep Coverage,SRR1929352,536510141
m00029,m,,RHESUS MACAQUE,864598,GBS,SRR5794917,67725
m00029,m,,RHESUS MACAQUE,864599,GBS,SRR7808871,4121067
m00030,m,India,RHESUS MACAQUE,864600,Whole Genome: Deep Coverage,SRR1944114,635375537
m00031,m,INDIA,RHESUS MACAQUE,864601,Whole Genome: Deep Coverage,SRR1929341,579341232
