mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00001,f,India,RHESUS MACAQUE,864557,Whole Genome: Deep Coverage,SRR5626563,896084477
m00002,f,India,RHESUS MACAQUE,864558,Whole Genome: Deep Coverage,SRR5626562,831193972
m00003,f,India,RHESUS MACAQUE,864559,Whole Genome: Deep Coverage,SRR5626566,558442100
m00006,f,India,RHESUS MACAQUE,864563,Whole Genome: Deep Coverage,SRR5626557,519593196
m00007,m,India,RHESUS MACAQUE,864564,Whole Genome: Deep Coverage,SRR5626556,524659231
m00008,m,India,RHESUS MACAQUE,864565,Whole Genome: Deep Coverage,SRR5626576,659845787
m00009,m,India,RHESUS MACAQUE,864567,Whole Genome: Deep Coverage,SRR5626575,384970478
m00010,f,India,RHESUS MACAQUE,864569,Whole Genome: Deep Coverage,SRR5626574,424087646
m00012,m,India,RHESUS MACAQUE,864572,Whole Genome: Deep Coverage,SRR5626572,430664300
m00016,m,India,RHESUS MACAQUE,864576,Whole Genome: Deep Coverage,SRR5626568,351460022
m00019,m,India,RHESUS MACAQUE,864580,Whole Genome: Deep Coverage,SRR1927129,690919628
m00020,f,India,RHESUS MACAQUE,864582,Whole Genome: Deep Coverage,SRR1927136,635520186
m00021,m,India,RHESUS MACAQUE,864584,Whole Genome: Deep Coverage,SRR1944117,659732039
m00022,f,India,RHESUS MACAQUE,864585,Whole Genome: Deep Coverage,SRR1929361,528973986
m00023,m,India,RHESUS MACAQUE,864586,Whole Genome: Deep Coverage,SRR1944110,571197343
m00024,m,India,RHESUS MACAQUE,864588,Whole Genome: Deep Coverage,SRR1964589,566684234
m00025,f,India,RHESUS MACAQUE,864589,Whole Genome: Deep Coverage,SRR1929364,557537439
m00026,m,India,RHESUS MACAQUE,864590,Whole Genome: Deep Coverage,SRR1964586,564501044
m00027,m,India,RHESUS MACAQUE,864593,Whole Genome: Deep Coverage,SRR1929358,658774757
m00028,m,India,RHESUS MACAQUE,864596,Whole Genome: Deep Coverage,SRR1929347,954728621
m00029,m,,RHESUS MACAQUE,864597,Whole Genome: Deep Coverage,SRR1929352,536510141
m00030,m,India,RHESUS MACAQUE,864600,Whole Genome: Deep Coverage,SRR1944114,635375537
m00031,m,INDIA,RHESUS MACAQUE,864601,Whole Genome: Deep Coverage,SRR1929341,579341232
m00032,m,India,RHESUS MACAQUE,864603,Whole Genome: Deep Coverage,SRR1929355,619474427
m00033,m,INDIA,RHESUS MACAQUE,864606,Whole Genome: Deep Coverage,SRR8474135,547924953
m00034,m,INDIA,RHESUS MACAQUE,864607,Whole Genome: Deep Coverage,SRR8474134,530486532
m00035,m,India,RHESUS MACAQUE,864608,Whole Genome: Deep Coverage,SRR5626565,530391889
m00036,m,India,RHESUS MACAQUE,864609,Whole Genome: Deep Coverage,SRR5626564,735313000
m00037,m,India,RHESUS MACAQUE,864612,Whole Genome: Deep Coverage,SRR5626559,567542724
m00038,f,India,RHESUS MACAQUE,864614,Whole Genome: Deep Coverage,SRR5435050,280812163
m00039,f,India,RHESUS MACAQUE,864616,Whole Genome: Deep Coverage,SRR5435049,340366331
m00040,f,India,RHESUS MACAQUE,864617,Whole Genome: Deep Coverage,SRR5435046,349748281
m00041,f,India,RHESUS MACAQUE,864620,Whole Genome: Deep Coverage,SRR5435045,359476212
m00042,m,India,RHESUS MACAQUE,864621,Whole Genome: Deep Coverage,SRR5435044,397642947
m00043,m,India,RHESUS MACAQUE,864624,Whole Genome: Deep Coverage,SRR5435042,354303001
m00044,f,India,RHESUS MACAQUE,864625,Whole Genome: Deep Coverage,SRR5435040,327914428
m00045,m,India,RHESUS MACAQUE,864628,Whole Genome: Deep Coverage,SRR5435039,355152454
m00046,m,India,RHESUS MACAQUE,864629,Whole Genome: Deep Coverage,SRR5435038,389052178
m00047,f,India,RHESUS MACAQUE,864632,Whole Genome: Deep Coverage,SRR5435037,353654882
m00047,f,India,RHESUS MACAQUE,864633,Whole Genome: Deep Coverage,SRR7865755,306320624
m00048,f,India,RHESUS MACAQUE,864634,Whole Genome: Deep Coverage,SRR5435036,305050913
m00049,f,India,RHESUS MACAQUE,864637,Whole Genome: Deep Coverage,SRR5435034,313470770
m00050,f,India,RHESUS MACAQUE,864638,Whole Genome: Deep Coverage,SRR5435032,322402597
